name,Ali Link,Orders,Rating,Estimated Ali Sales,categoryName,price,image,occasionName,typeName,originalPrice,stockQuantity,inStock,sku,weight,dimensions,featured,isNew,onSale,isActive
Cartoon Children's Bag Fashion New Style Kids Kindergarten Schoolbag Popular Design Kids Boys And Girls Backpack Shoulder Bag,https://www.aliexpress.com/item/1005007345122358.html?spm=a2g0o.productlist.main.45.62acM2XPM2XPy5&pdp_ext_f=%7B%22sku_id%22%3A%2212000040353700445%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K+,4.9,10K+,Baby Item,49706,https://picsum.photos/400/414,everyday use,Standard,83632,6957,TRUE,cartoon-children's-bag-fashion-new-style-kids-kindergarten-schoolbag-popular-design-kids-boys-and-girls-backpack-shoulder-bag-5619,,,FALSE,TRUE,FALSE,TRUE
Disney New Fashionable Mickey Mouse Pattern Children's School Bag Cute Mickey Print Lightweight Backpack,https://www.aliexpress.com/item/1005006097865112.html?spm=a2g0o.detail.similar_items.1.2a2an4wHn4wH08&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%214823.66%212267.24%21%21%21125.10%2158.80%21%40210101f517323676872078357ec2c4%2112000035727628887%21sea%21PK%210%21ABX,3K+,4.5,13K+,Baby Item,48975,https://picsum.photos/400/415,everyday use,Standard,21768,9267,TRUE,disney-new-fashionable-mickey-mouse-pattern-children's-school-bag-cute-mickey-print-lightweight-backpack-4373,,,FALSE,TRUE,FALSE,TRUE
DisneyCartoon Mickey Fashion Versatile LargeCapacity Canvas Shoulder Bag Women's Casual Versatile Tote Bag Student Class Handbag,https://www.aliexpress.com/item/1005007247273986.html?spm=a2g0o.detail.similar_items.2.2fdd3FB03FB0dg&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%214573.80%212195.52%21%21%21118.62%2156.94%21%4021015b7d17323679758277839e2039%2112000039938491748%21sea%21PK%210%21ABX,4K+,4.6,9K+,Baby Item,56083,https://picsum.photos/400/416,everyday use,Standard,68978,8204,TRUE,disneycartoon-mickey-fashion-versatile-largecapacity-canvas-shoulder-bag-women's-casual-versatile-tote-bag-student-class-handbag-1584,,,FALSE,TRUE,FALSE,TRUE
1 PCS New Kids Backpack School Bag Cute Animal Print Backpack,https://www.aliexpress.com/item/1005007060447761.html?spm=a2g0o.detail.similar_items.1.2e274c65fYMmhS&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%212456.17%211031.44%21%21%2163.70%2126.75%21%40210156fc17323682712655708e1eb1%2112000043157582861%21sea%21PK%210%21ABX,10K+,4.9,20K,Baby Item,87407,https://picsum.photos/400/417,everyday use,Standard,12117,3941,TRUE,1-pcs-new-kids-backpack-school-bag-cute-animal-print-backpack-7655,,,FALSE,TRUE,FALSE,TRUE
"Minnie Cute Baby Girl Backpack Children Bag Fashion Popular Brand Kids Schoolbag Toddler Accessory Bags Cartoon Printed Disney",https://www.aliexpress.com/item/1005006269728820.html?spm=a2g0o.productlist.main.51.62acM2XPM2XPy5&pdp_ext_f=%7B%22sku_id%22%3A%2212000036737438589%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K+,4.8,7K+,Baby Item,66931,https://picsum.photos/400/418,everyday use,Standard,12732,1153,TRUE,"minnie-cute-baby-girl-backpack-children-bag-fashion-popular-brand-kids-schoolbag-toddler-accessory-bags-cartoon-printed-disney-1641",,,FALSE,TRUE,FALSE,TRUE
Disney cartoon Stitch New Kids Backpack Mini Schoolbag Girls and Boys Cute Shoulder Bag,https://www.aliexpress.com/item/1005006213037940.html?spm=a2g0o.productlist.main.53.62acM2XPM2XPy5&pdp_ext_f=%7B%22sku_id%22%3A%2212000036304734441%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K+,4.9,10K+,Baby Item,57868,https://picsum.photos/400/419,everyday use,Standard,83665,9180,TRUE,disney-cartoon-stitch-new-kids-backpack-mini-schoolbag-girls-and-boys-cute-shoulder-bag-9056,,,FALSE,TRUE,FALSE,TRUE
"BANDAI Stitch Fully Printed Flap Pen Bag Stationery Box Cartoon Large Capacity Pencil Case Cute Anime Bags Student School Bag",https://www.aliexpress.com/item/1005006808825866.html?spm=a2g0o.detail.similar_items.1.57e14c6565au25&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%213545.44%211240.80%21%21%2191.95%2132.18%21%40212a6e3217323685776676696e9950%2112000039384655567%21sea%21PK%210%21ABX,5K,4.8,15K+,Baby Item,75105,https://picsum.photos/400/420,everyday use,Standard,95812,9041,TRUE,"bandai-stitch-fully-printed-flap-pen-bag-stationery-box-cartoon-large-capacity-pencil-case-cute-anime-bags-student-school-bag-6844",,,FALSE,TRUE,FALSE,TRUE
Infinno Inflatable Tummy Time Mat Premium Baby Play Mat Inflatable Water Cushion Interactive Baby Toys for Sensory Development,https://www.aliexpress.com/item/1005006860941331.html?spm=a2g0o.productlist.main.1.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038541965521%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,30K+,Baby Item,26497,https://picsum.photos/400/421,everyday use,Standard,54806,3927,TRUE,infinno-inflatable-tummy-time-mat-premium-baby-play-mat-inflatable-water-cushion-interactive-baby-toys-for-sensory-development-1101,,,FALSE,TRUE,FALSE,TRUE
1pc Blue Dolphin Inflatable PVC Playing Mat Baby Play Water Mat Toddler Pad Kids Early Education Activity Toys Mat Cushion Gift,https://www.aliexpress.com/item/1005006861735596.html?spm=a2g0o.productlist.main.3.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038545668614%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,20K+,Baby Item,98538,https://picsum.photos/400/422,everyday use,Standard,59626,4160,TRUE,1pc-blue-dolphin-inflatable-pvc-playing-mat-baby-play-water-mat-toddler-pad-kids-early-education-activity-toys-mat-cushion-gift-6718,,,FALSE,TRUE,FALSE,TRUE
Baby Activity Gym Rack Newborn Play Mat Musical Piano Keyboard Crawling Blanket Pedal Early Education 0-36 Months Toy Gifts,https://www.aliexpress.com/item/1005006997076806.html?spm=a2g0o.productlist.main.5.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038991354675%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,20K+,Baby Item,75734,https://picsum.photos/400/423,everyday use,Standard,27053,6944,TRUE,baby-activity-gym-rack-newborn-play-mat-musical-piano-keyboard-crawling-blanket-pedal-early-education-0-36-months-toy-gifts-8815,,,FALSE,TRUE,FALSE,TRUE
"Baby Activity Gym Rack Early Education 0-36 Months Toy Gifts Musical Newborn Piano Keyboard Crawling Blanket Pedal Play Mat",https://www.aliexpress.com/item/1005006996855129.html?spm=a2g0o.productlist.main.7.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038989392546%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,40K+,Baby Item,63204,https://picsum.photos/400/424,everyday use,Standard,1921,5040,TRUE,"baby-activity-gym-rack-early-education-0-36-months-toy-gifts-musical-newborn-piano-keyboard-crawling-blanket-pedal-play-mat-3517",,,FALSE,TRUE,FALSE,TRUE
Baby Fitness Stand Music Play Gym Activity Toys Newborn Piano Crawling Blanket Pedal Game Pad Early Education 0-36 Months Gifts,https://www.aliexpress.com/item/1005006860939721.html?spm=a2g0o.detail.similar_items.1.413f4c65QrM4nO&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%219425.22%213958.41%21%21%21244.44%21102.66%21%40212a6e3217323691342807824e9950%2112000043480040185%21sea%21PK%210%21ABX,10K+,4.9,25K+,Baby Item,56057,https://picsum.photos/400/425,everyday use,Standard,79666,7118,TRUE,baby-fitness-stand-music-play-gym-activity-toys-newborn-piano-crawling-blanket-pedal-game-pad-early-education-0-36-months-gifts-9472,,,FALSE,TRUE,FALSE,TRUE
8-16pcs Baby Puzzle Floor Kids Carpet Bebe Mattress EVA Foam Baby Blanket Educational Toys Play Mat for Children 30x1cm,https://www.aliexpress.com/item/1005007171334387.html?spm=a2g0o.productlist.main.9.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000039693159648%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.9,25K+,Baby Item,62016,https://picsum.photos/400/426,everyday use,Standard,72868,1843,TRUE,8-16pcs-baby-puzzle-floor-kids-carpet-bebe-mattress-eva-foam-baby-blanket-educational-toys-play-mat-for-children-30x1cm-2039,,,FALSE,TRUE,FALSE,TRUE
Baby Play Mat City Traffic Road Map Mat Carpet City Car Parking Lot Roadmap Traffic Signs Baby Climbing Playing Mat Game,https://www.aliexpress.com/item/1005007038711230.html?spm=a2g0o.productlist.main.13.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000039180851030%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.9,20K+,Baby Item,83172,https://picsum.photos/400/427,everyday use,Standard,29877,4526,TRUE,baby-play-mat-city-traffic-road-map-mat-carpet-city-car-parking-lot-roadmap-traffic-signs-baby-climbing-playing-mat-game-2352,,,FALSE,TRUE,FALSE,TRUE
16PCS Baby Play Mats EVA Foam Puzzle Mat Children Room Activities Mat For Baby Interlock Floor Carpet 30*30CM,https://www.aliexpress.com/item/1005006783143032.html?spm=a2g0o.productlist.main.15.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038281806777%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.9,15K+,Baby Item,59335,https://picsum.photos/400/428,everyday use,Standard,54301,8570,TRUE,16pcs-baby-play-mats-eva-foam-puzzle-mat-children-room-activities-mat-for-baby-interlock-floor-carpet-30*30cm-2886,,,FALSE,TRUE,FALSE,TRUE
"Baby Fitness Frame Crawling Play Mat Multifunction Fence Floor Toddler Activity Gym Game Activity Blanket Newborn Kids Toys",https://www.aliexpress.com/item/1005006727215947.html?spm=a2g0o.productlist.main.17.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038107082625%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.9,20K+,Baby Item,51387,https://picsum.photos/400/429,everyday use,Standard,58854,8138,TRUE,"baby-fitness-frame-crawling-play-mat-multifunction-fence-floor-toddler-activity-gym-game-activity-blanket-newborn-kids-toys-6272",,,FALSE,TRUE,FALSE,TRUE
120*90cm Baby Play Mat EPE Activity Gym Kids Crawling Mats Carpet Baby Game Carpet for Children Rug Floor Newborns Eva Foam Toys,https://www.aliexpress.com/item/1005006997628368.html?spm=a2g0o.productlist.main.19.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038992480387%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,3K+,4.9,20K+,Baby Item,1714,https://picsum.photos/400/430,everyday use,Standard,53351,7795,TRUE,120*90cm-baby-play-mat-epe-activity-gym-kids-crawling-mats-carpet-baby-game-carpet-for-children-rug-floor-newborns-eva-foam-toys-6515,,,FALSE,TRUE,FALSE,TRUE
"Non-toxic New EPE Environmentally Thick Baby Crawling Play Mat Folding Carpet Play Mat for Children's Mat Safety Kid Rug Playmat",https://www.aliexpress.com/item/1005006366783121.html?spm=a2g0o.productlist.main.23.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000036914792250%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K,4.4,15K+,Baby Item,21451,https://picsum.photos/400/431,everyday use,Standard,40665,8061,TRUE,"non-toxic-new-epe-environmentally-thick-baby-crawling-play-mat-folding-carpet-play-mat-for-children's-mat-safety-kid-rug-playmat-9125",,,FALSE,TRUE,FALSE,TRUE
177*64cm Baby Play Mat Foldable Waterproof Children Carpet Double-Sided Pattern Educational Outdoor Camping Mat Easy to Carry,https://www.aliexpress.com/item/1005006997234526.html?spm=a2g0o.productlist.main.25.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000043553925541%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K,4.9,20K,Baby Item,92165,https://picsum.photos/400/432,everyday use,Standard,8601,3268,TRUE,177*64cm-baby-play-mat-foldable-waterproof-children-carpet-double-sided-pattern-educational-outdoor-camping-mat-easy-to-carry-9407,,,FALSE,TRUE,FALSE,TRUE
8Pcs/2.5cm Thick Nonslip Baby Crawling Play Mat Soundproof Puzzle Gym Mat for Children's Room and Eco-Friendly Puzzle Mat,https://www.aliexpress.com/item/1005006967614104.html?spm=a2g0o.productlist.main.27.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000043741516817%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K,4.9,30K,Baby Item,98119,https://picsum.photos/400/433,everyday use,Standard,98265,9381,TRUE,8pcs/2.5cm-thick-nonslip-baby-crawling-play-mat-soundproof-puzzle-gym-mat-for-children's-room-and-eco-friendly-puzzle-mat-5114,,,FALSE,TRUE,FALSE,TRUE
2.5CM Thick 30Ã—30 Solid Color Baby Children's Room Game Mat Carpet Playing Activity Gym Mat Puzzle Environmental Protection Mat,https://www.aliexpress.com/item/1005006995122722.html?spm=a2g0o.productlist.main.29.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038985539171%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K,4.9,10K,Baby Item,67074,https://picsum.photos/400/434,everyday use,Standard,61025,4947,TRUE,2.5cm-thick-30ã—30-solid-color-baby-children's-room-game-mat-carpet-playing-activity-gym-mat-puzzle-environmental-protection-mat-7288,,,FALSE,TRUE,FALSE,TRUE
12pcs Foam Baby Play Mat Puzzle Mat Kids Interlocking Exercise Tiles Rugs Floor Tiles Toy Carpet Soft Carpet 30*30*1cm,https://www.aliexpress.com/item/1005007345084487.html?spm=a2g0o.productlist.main.35.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000040353708511%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K,4.9,15K,Baby Item,90342,https://picsum.photos/400/435,everyday use,Standard,27010,3690,TRUE,12pcs-foam-baby-play-mat-puzzle-mat-kids-interlocking-exercise-tiles-rugs-floor-tiles-toy-carpet-soft-carpet-30*30*1cm-4438,,,FALSE,TRUE,FALSE,TRUE
"Baby Play Mat Educational Toy for Children Crawling Carpet Game Activity Gym Playground Doubel Sided Printed Kids Rug Foam Floor",https://www.aliexpress.com/item/1005006678098520.html?spm=a2g0o.productlist.main.33.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000037991663820%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K,4.9,20K,Baby Item,97306,https://picsum.photos/400/436,everyday use,Standard,7844,9729,TRUE,"baby-play-mat-educational-toy-for-children-crawling-carpet-game-activity-gym-playground-doubel-sided-printed-kids-rug-foam-floor-6975",,,FALSE,TRUE,FALSE,TRUE
"Happy Flute Baby Play Mat, Baby Crawling Mat Portable Waterproof , Anti-Slip Folding Mat Playmat For Baby Indoor Or Outdoor Use",https://www.aliexpress.com/item/1005006996801305.html?spm=a2g0o.productlist.main.39.60431477tWRiyj&pdp_ext_f=%7B%22sku_id%22%3A%2212000038989700117%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,1K,4.9,10K,Baby Item,14853,https://picsum.photos/400/437,everyday use,Standard,79207,5534,TRUE,"happy-flute-baby-play-mat,-baby-crawling-mat-portable-waterproof-,-anti-slip-folding-mat-playmat-for-baby-indoor-or-outdoor-use-7709",,,FALSE,TRUE,FALSE,TRUE
Baby Play Mat 180x120x0.3cm Children Crawling Carpet Toys for Kid Game Activity Gym Waterproof Rug Outdoor Indoor Soft Floor,https://www.aliexpress.com/item/1005006782838727.html?spm=a2g0o.productlist.main.13.65b912574q1sJI&algo_pvid=87a8d8bd-7759-460f-8014-ef624b06103c&algo_exp_id=87a8d8bd-7759-460f-8014-ef624b06103c-6&pdp_npi=4%40dis%21PKR%215339.57%212242.56%21%21%21138.48%2158.16%21%402140c1e917323714741512984e73a8%2112000038281697886%21sea%21PK%210%21ABX&curPageLogUid=lCL9FoedifM1&utparam-url=scene%3Asearch%7Cquery_from%3A,2K,4.9,20K,Baby Item,2989,https://picsum.photos/400/438,everyday use,Standard,88793,9348,TRUE,baby-play-mat-180x120x0.3cm-children-crawling-carpet-toys-for-kid-game-activity-gym-waterproof-rug-outdoor-indoor-soft-floor-6718,,,FALSE,TRUE,FALSE,TRUE
Girl's dress and hat 2/piece set for summer baby girls wearing printed color blocking fly sleeved princess dress,https://www.aliexpress.com/item/1005007037382946.html?spm=a2g0o.productlist.main.1.20bf693eBA37fZ&pdp_ext_f=%7B%22sku_id%22%3A%2212000039178310225%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K,4.9,50K,Baby Item,17434,https://picsum.photos/400/439,everyday use,Standard,44693,5136,TRUE,girl's-dress-and-hat-2/piece-set-for-summer-baby-girls-wearing-printed-color-blocking-fly-sleeved-princess-dress-8572,,,FALSE,TRUE,FALSE,TRUE
Mommy Bag Lightweight Portable Folding Crib Bed Large-capacity Travel Maternity Bags Baby Backpack Female Mommy Outting Bag,https://www.aliexpress.us/item/3256806810277986.html?spm=a2g0o.productlist.main.51.21da7baa4OXxtt&pdp_ext_f=%7B%22sku_id%22%3A%2212000038989396576%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate&gatewayAdapt=4itemAdapt,9K,4.9,15K,Baby Item,19534,https://picsum.photos/400/440,everyday use,Standard,88471,2093,TRUE,mommy-bag-lightweight-portable-folding-crib-bed-large-capacity-travel-maternity-bags-baby-backpack-female-mommy-outting-bag-7216,,,FALSE,TRUE,FALSE,TRUE
